word,pronunciation,definition,example
会う,あう,v. to meet,ともだちに会うます。
赤い,あかい,adj. red,赤い車がありません。
朝,あさ,n. morning,朝ごはんをたべます。
後,あと,n. back,学校の後でうちにかえります。
言う,いう,v. to speak,先生がいいます。
上,うえ,n. up,本は机の上にあります。
生まれる,うまれる,v. to be born,犬が生まれました。
駅,えき,n. station,駅で友達をまちます。
大きい,おおきい,adj. big,大きい家にすんでいます。
お金,おかね,n. money,お金がありません。
外国,がいこく,n. foreign country,外国へ行きます。
買う,かう,v. to buy,パンを買います。
学校,がっこう,n. school,火曜日に学校へ行きます。
火曜日,かようび,n. Tuesday,火曜日をテストがあります。
聞く,きく,v. to listen,音楽を聞きます
銀行,ぎんこう,n. bank,銀行へ行きます。
金曜日,きんようび,n. Friday,金曜日が好きです。
車,くるま,n. car,父の車は青いです。
午後,ごご,n. afternoon,午後に日本語をべんきょうします。
今月,こんげつ,n. this month,今月は忙しいです。
魚,さかな,n. fish,魚を食べます。
四月,しがつ,n. April,四月に学校がはじまります。
下,した,n. below,ねこはテイブルの下にいます。
七月,しちがつ,n. July,七月はなつやすみです。
七時,しちじ,n. seven o' clock,七時にあきます。
白い,しろい,adj. white,白いふくをきます。
千円,せんえん,n. 1000 yen,千円もっています。
